node_id,layer,community
Addison Road-Seat Pleasant,2025-09-22 00:00:00,1
Anacostia,2025-09-22 00:00:00,4
Archives-Navy Memorial-Penn Quarter,2025-09-22 00:00:00,3
Arlington Cemetery,2025-09-22 00:00:00,3
Ashburn,2025-09-22 00:00:00,1
Ballston-MU,2025-09-22 00:00:00,1
Benning Road,2025-09-22 00:00:00,1
Bethesda,2025-09-22 00:00:00,2
Braddock Road,2025-09-22 00:00:00,3
Branch Ave,2025-09-22 00:00:00,3
Brookland-CUA,2025-09-22 00:00:00,2
Capitol Heights,2025-09-22 00:00:00,1
Capitol South,2025-09-22 00:00:00,1
Cheverly,2025-09-22 00:00:00,1
Clarendon,2025-09-22 00:00:00,1
Cleveland Park,2025-09-22 00:00:00,2
College Park-U of Md,2025-09-22 00:00:00,4
Columbia Heights,2025-09-22 00:00:00,4
Congress Heights,2025-09-22 00:00:00,4
Court House,2025-09-22 00:00:00,1
Crystal City,2025-09-22 00:00:00,3
Deanwood,2025-09-22 00:00:00,1
Downtown Largo,2025-09-22 00:00:00,1
Dunn Loring-Merrifield,2025-09-22 00:00:00,1
Dupont Circle,2025-09-22 00:00:00,2
East Falls Church,2025-09-22 00:00:00,1
Eastern Market,2025-09-22 00:00:00,1
Eisenhower Ave,2025-09-22 00:00:00,3
Farragut North,2025-09-22 00:00:00,2
Farragut West,2025-09-22 00:00:00,1
Federal Center SW,2025-09-22 00:00:00,1
Federal Triangle,2025-09-22 00:00:00,1
Foggy Bottom-GWU,2025-09-22 00:00:00,1
Forest Glen,2025-09-22 00:00:00,2
Fort Totten,2025-09-22 00:00:00,4
Franconia-Springfield,2025-09-22 00:00:00,3
Friendship Heights,2025-09-22 00:00:00,2
Gallery Pl-Chinatown,2025-09-22 00:00:00,4
Georgia Ave-Petworth,2025-09-22 00:00:00,4
Glenmont,2025-09-22 00:00:00,2
Greenbelt,2025-09-22 00:00:00,4
Greensboro,2025-09-22 00:00:00,1
Grosvenor-Strathmore,2025-09-22 00:00:00,2
