node_id,layer,community
0,0,1
1,0,2
2,0,2
3,0,3
4,0,3
5,0,1
6,0,3
8,0,3
10,0,4
12,0,1
14,0,3
16,0,1
17,0,5
18,0,6
19,0,6
20,0,7
22,0,3
23,0,5
24,0,2
25,0,8
26,0,1
29,0,3
30,0,4
32,0,1
33,0,9
35,0,1
37,0,4
38,0,10
39,0,2
40,0,6
41,0,9
42,0,1
43,0,8
44,0,1
45,0,4
46,0,7
47,0,6
48,0,11
50,0,5
52,0,3
53,0,11
55,0,6
57,0,11
58,0,5
59,0,2
61,0,3
62,0,9
63,0,2
64,0,3
65,0,2
66,0,10
67,0,10
68,0,1
69,0,3
71,0,2
72,0,6
73,0,1
74,0,3
75,0,2
78,0,3
80,0,2
81,0,1
83,0,4
85,0,1
87,0,6
88,0,8
90,0,1
92,0,3
95,0,5
96,0,1
97,0,8
98,0,1
99,0,2
100,0,7
103,0,10
104,0,5
105,0,1
106,0,11
110,0,5
111,0,2
112,0,2
115,0,11
117,0,1
119,0,4
120,0,1
123,0,2
125,0,1
126,0,8
130,0,2
131,0,1
133,0,7
134,0,1
135,0,1
136,0,6
137,0,1
139,0,3
141,0,2
142,0,11
145,0,9
146,0,5
147,0,6
149,0,1
151,0,2
153,0,9
156,0,3
157,0,2
160,0,7
161,0,4
162,0,7
165,0,3
168,0,12
169,0,10
170,0,6
171,0,1
172,0,1
174,0,1
175,0,4
176,0,11
178,0,6
179,0,2
180,0,3
181,0,1
182,0,9
186,0,4
188,0,4
190,0,1
191,0,6
193,0,1
194,0,4
195,0,2
196,0,5
197,0,6
198,0,6
199,0,1
200,0,1
201,0,10
202,0,2
203,0,1
204,0,5
206,0,6
207,0,1
208,0,4
212,0,1
214,0,3
215,0,3
216,0,10
218,0,9
219,0,12
220,0,1
221,0,3
222,0,1
223,0,3
225,0,2
226,0,7
227,0,3
228,0,11
229,0,6
231,0,10
233,0,1
236,0,1
237,0,2
238,0,5
240,0,1
241,0,1
243,0,7
244,0,3
245,0,11
246,0,9
247,0,1
248,0,1
249,0,4
250,0,2
253,0,1
254,0,8
255,0,2
256,0,3
260,0,9
261,0,1
262,0,1
264,0,6
265,0,3
266,0,1
267,0,6
269,0,1
270,0,5
272,0,6
273,0,1
274,0,1
275,0,1
276,0,11
277,0,2
278,0,1
279,0,1
280,0,8
283,0,6
285,0,11
287,0,4
288,0,7
289,0,6
290,0,11
291,0,5
293,0,1
295,0,7
297,0,8
299,0,11
300,0,3
301,0,4
303,0,12
305,0,6
307,0,12
308,0,11
309,0,8
311,0,6
312,0,11
314,0,5
315,0,5
316,0,1
318,0,5
319,0,5
321,0,1
322,0,1
323,0,2
324,0,4
325,0,1
326,0,1
327,0,4
330,0,6
333,0,8
336,0,1
337,0,1
338,0,8
341,0,3
342,0,6
343,0,1
345,0,11
348,0,3
349,0,5
350,0,1
354,0,5
357,0,8
359,0,1
360,0,9
364,0,11
365,0,5
366,0,3
368,0,1
370,0,3
371,0,1
373,0,5
374,0,1
